Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
DC4,0,0,0,0,0,0,0,0,0,0,0,0
TDS,0,0,0,0,0,0,0,0,0,0,0,0
NCT,0,0,0,0,0,0,0,0,0,0,0,0
HTN,0,0,0,0,0,0,0,0,0,0,0,0
NAF,0,0,0,0,0,0,0,0,0,0,0,0
CEE,0,0,0,0,0,0,0,0,0,0,0,0
HOM,0,0,0,0,0,0,0,0,0,0,0,0
BCE,0,0,0,0,0,0,0,0,0,0,0,0
TRA,0,0,0,0,0,0,0,0,0,0,0,0
GDT,0,0,0,0,0,0,0,0,0,0,0,0
STG,0,0,0,0,0,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0,0,0,0,0,0
BTP,0,0,0,0,0,0,0,0,0,0,0,0
PGD,0,0,0,0,0,0,0,0,0,0,0,0
TSC,0,0,0,0,0,0,0,0,0,0,0,0
AST,0,0,0,0,0,0,0,0,0,0,0,0
LM7,0,0,0,0,0,0,0,0,0,0,0,0
SMC,0,0,0,0,0,0,0,0,0,0,0,0
DBD,0,0,0,0,0,0,0,0,0,0,0,0
DAG,0,0,0,0,0,0,0,0,0,0,0,0
PXT,0,0,0,0,0,0,0,0,0,0,0,0
TV2,0,0,0,0,0,0,0,0,0,0,0,0
TEG,0,0,0,0,0,0,0,0,0,0,0,0
ICT,0,0,0,0,0,0,0,0,0,0,0,0
PTL,0,0,0,0,0,0,0,0,0,0,0,0
LEC,0,0,0,0,0,0,0,0,0,0,0,0
VSH,0,0,0,0,0,0,0,0,0,0,0,0
GMC,0,0,0,0,0,0,0,0,0,0,0,0
VNS,0,0,0,0,0,0,0,0,0,0,0,0
VPS,0,0,0,0,0,0,0,0,0,0,0,0
VPD,0,0,0,0,0,0,0,0,0,0,0,0
HID,0,0,0,0,0,0,0,0,0,0,0,0
DHM,0,0,0,0,0,0,0,0,0,0,0,0
CMG,0,0,0,0,0,0,0,0,0,0,0,0
CLC,0,0,0,0,0,0,0,0,0,0,0,0
DDN,0,0,0,0,0,0,0,0,0,0,0,0
STH,0,0,0,0,0,0,0,0,0,0,0,0
SSN,0,0,0,0,0,0,0,0,0,0,0,0
TVS,0,0,0,0,0,0,0,0,0,0,0,0
EVG,0,0,0,0,0,0,0,0,0,0,0,0
DCL,0,0,0,0,0,0,0,0,0,0,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0
BHN,0,0,0,0,0,0,0,0,0,0,0,0
TTZ,0,0,0,0,0,0,0,0,0,0,0,0
VCF,0,0,0,0,0,0,0,0,0,0,0,0
SHE,0,0,0,0,0,0,0,0,0,0,0,0
ATB,0,0,0,0,0,0,0,0,0,0,0,0
TNT,0,0,0,0,0,0,0,0,0,0,0,0
VTO,0,0,0,0,0,0,0,0,0,0,0,0
MIG,0,0,0,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0,0,0,0
CAV,0,0,0,0,0,0,0,0,0,0,0,0
TCR,0,0,0,0,0,0,0,0,0,0,0,0
CDO,0,0,0,0,0,0,0,0,0,0,0,0
MCG,0,0,0,0,0,0,0,0,0,0,0,0
VOS,0,0,0,0,0,0,0,0,0,0,0,0
CRC,0,0,0,0,0,0,0,0,0,0,0,0
SGN,0,0,0,0,0,0,0,0,0,0,0,0
SHA,0,0,0,0,0,0,0,0,0,0,0,0
TN1,0,0,0,0,0,0,0,0,0,0,0,0
VC7,0,0,0,0,0,0,0,0,0,0,0,0
HCC,0,0,0,0,0,0,0,0,0,0,0,0
HDA,0,0,0,0,0,0,0,0,0,0,0,0
CTP,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0
ASG,0,0,0,0,0,0,0,0,0,0,0,0
KOS,0,0,0,0,0,0,0,0,0,0,0,0
KHP,0,0,0,0,0,0,0,0,0,0,0,0
YBM,0,0,0,0,0,0,0,0,0,0,0,0
NNC,0,0,0,0,0,0,0,0,0,0,0,0
STK,0,0,0,0,0,0,0,0,0,0,0,0
FCM,0,0,0,0,0,0,0,0,0,0,0,0
QBS,0,0,0,0,0,0,0,0,0,0,0,0
ASP,0,0,0,0,0,0,0,0,0,0,0,0
FTS,0,0,0,0,0,0,0,0,0,0,0,0
ACL,0,0,0,0,0,0,0,0,0,0,0,0
VIS,0,0,0,0,0,0,0,0,0,0,0,0
SFI,0,0,0,0,0,0,0,0,0,0,0,0
RAL,0,0,0,0,0,0,0,0,0,0,0,0
BTT,0,0,0,0,0,0,0,0,0,0,0,0
LM8,0,0,0,0,0,0,0,0,0,0,0,0
VNE,0,0,0,0,0,0,0,0,0,0,0,0
CTS,0,0,0,0,0,0,0,0,0,0,0,0
UIC,0,0,0,0,0,0,0,0,0,0,0,0
BMC,0,0,0,0,0,0,0,0,0,0,0,0
BFC,0,0,0,0,0,0,0,0,0,0,0,0
TCT,0,0,0,0,0,0,0,0,0,0,0,0
TVT,0,0,0,0,0,0,0,0,0,0,0,0
CTF,0,0,0,0,0,0,0,0,0,0,0,0
RDP,0,0,0,0,0,0,0,0,0,0,0,0
VNG,0,0,0,0,0,0,0,0,0,0,0,0
ACM,0,0,0,0,0,0,0,0,0,0,0,0
PGI,0,0,0,0,0,0,0,0,0,0,0,0
LGL,0,0,0,0,0,0,0,0,0,0,0,0
APH,0,0,0,0,0,0,0,0,0,0,0,0
NHA,0,0,0,0,0,0,0,0,0,0,0,0
RIC,0,0,0,0,0,0,0,0,0,0,0,0
ITC,0,0,0,0,0,0,0,0,0,0,0,0
SCD,0,0,0,0,0,0,0,0,0,0,0,0
PMG,0,0,0,0,0,0,0,0,0,0,0,0
ILA,0,0,0,0,0,0,0,0,0,0,0,0
AGR,0,0,0,0,0,0,0,0,0,0,0,0
DSN,0,0,0,0,0,0,0,0,0,0,0,0
VDS,0,0,0,0,0,0,0,0,0,0,0,0
SHI,0,0,0,0,0,0,0,0,0,0,0,0
TMT,0,0,0,0,0,0,0,0,0,0,0,0
TLG,0,0,0,0,0,0,0,0,0,0,0,0
VIT,0,0,0,0,0,0,0,0,0,0,0,0
HCD,0,0,0,0,0,0,0,0,0,0,0,0
THT,0,0,0,0,0,0,0,0,0,0,0,0
NVT,0,0,0,0,0,0,0,0,0,0,0,0
VTB,0,0,0,0,0,0,0,0,0,0,0,0
SBA,0,0,0,0,0,0,0,0,0,0,0,0
PLP,0,0,0,0,0,0,0,0,0,0,0,0
HTL,0,0,0,0,0,0,0,0,0,0,0,0
SFG,0,0,0,0,0,0,0,0,0,0,0,0
DQC,0,0,0,0,0,0,0,0,0,0,0,0
VC9,0,0,0,0,0,0,0,0,0,0,0,0
SJD,0,0,0,0,0,0,0,0,0,0,0,0
CLX,0,0,0,0,0,0,0,0,0,0,0,0
CNG,0,0,0,0,0,0,0,0,0,0,0,0
DHA,0,0,0,0,0,0,0,0,0,0,0,0
SBV,0,0,0,0,0,0,0,0,0,0,0,0
SRC,0,0,0,0,0,0,0,0,0,0,0,0
CEN,0,0,0,0,0,0,0,0,0,0,0,0
HRC,0,0,0,0,0,0,0,0,0,0,0,0
TDG,0,0,0,0,0,0,0,0,0,0,0,0
TMP,0,0,0,0,0,0,0,0,0,0,0,0
HII,0,0,0,0,0,0,0,0,0,0,0,0
ACC,0,0,0,0,0,0,0,0,0,0,0,0
BSI,0,0,0,0,0,0,0,0,0,0,0,0
PTS,0,0,0,0,0,0,0,0,0,0,0,0
LLM,0,0,0,0,0,0,0,0,0,0,0,0
