,Code,Floor
1055,SVI,HOSE
1056,OPC,HOSE
1057,BHV,UPCOM
1058,SPH,UPCOM
1059,TDN,HNX
1060,TDW,HOSE
1061,PJS,UPCOM
1062,HOT,HOSE
1063,ICC,UPCOM
1064,D2D,HOSE
1065,DDN,UPCOM
1066,TLT,UPCOM
1067,TCI,UPCOM
1068,PAN,HOSE
1069,VIS,HOSE
1070,HAX,HOSE
1071,MPC,UPCOM
1072,TCO,HOSE
1073,NBC,HNX
1074,PSC,HNX
1075,LGC,HOSE
1076,SFN,HNX
1077,SJD,HOSE
1078,HDM,UPCOM
1079,BVN,UPCOM
1080,GTA,HOSE
1081,FDG,UPCOM
1082,CTD,HOSE
1083,X26,UPCOM
1084,VKD,UPCOM
1085,CNN,UPCOM
1086,LM3,UPCOM
1087,PAI,UPCOM
1088,HCB,UPCOM
1089,VNP,UPCOM
1090,C92,HNX
1091,GVR,HOSE
1092,DCS,UPCOM
1093,MIC,UPCOM
1094,ORS,UPCOM
1095,SGT,HOSE
1096,BHN,HOSE
1097,X20,HNX
1098,PVX,UPCOM
1099,ONE,HNX
1100,TV4,HNX
1101,CNT,UPCOM
1102,QCG,HOSE
1103,DHT,HNX
1104,BST,HNX
1105,CFC,UPCOM
1106,PPP,HNX
1107,SHS,HNX
1108,VPC,UPCOM
1109,TMX,HNX
1110,ACE,UPCOM
1111,PTP,UPCOM
1112,VNX,UPCOM
1113,BDB,HNX
1114,TAG,UPCOM
1115,HDG,HOSE
1116,TVN,UPCOM
1117,VES,UPCOM
1118,NVT,HOSE
1119,DLR,UPCOM
1120,VCR,UPCOM
1121,IN4,UPCOM
1122,HU1,HOSE
1123,SBA,HOSE
1124,PXM,UPCOM
1125,LDW,UPCOM
1126,VDN,UPCOM
1127,DTA,HOSE
1128,SMT,HNX
1129,MIM,HNX
1130,TNP,UPCOM
1131,POV,UPCOM
1132,PXL,UPCOM
1133,VAT,HNX
1134,PV2,HNX
1135,PTD,HNX
1136,TSB,HNX
1137,BDC,UPCOM
1138,DLD,UPCOM
1139,FBA,UPCOM
1140,SEP,UPCOM
1141,SDV,UPCOM
1142,ITQ,HNX
1143,CDN,HNX
1144,PSE,HNX
1145,LKW,UPCOM
1146,SNZ,UPCOM
1147,E12,UPCOM
1148,HU4,UPCOM
1149,PTK,UPCOM
1150,PDT,UPCOM
1151,TVB,HOSE
1152,TTZ,HNX
1153,TIP,HOSE
1154,DVC,UPCOM
1155,PVB,HNX
1156,TSJ,UPCOM
1157,PXC,UPCOM
1158,SKG,HOSE
1159,DCF,UPCOM
1160,BT1,UPCOM
1161,KHD,UPCOM
1162,PBC,UPCOM
1163,PTE,UPCOM
1164,TVM,UPCOM
1165,VTH,HNX
1166,EIN,UPCOM
1167,DCM,HOSE
1168,SMN,HNX
1169,DPS,HNX
1170,VMA,UPCOM
1171,LAW,UPCOM
1172,PIS,UPCOM
1173,HPM,HNX
1174,ATS,HNX
1175,G36,UPCOM
1176,KIP,UPCOM
1177,QSP,UPCOM
1178,MTL,UPCOM
1179,NSG,UPCOM
1180,ATG,HOSE
1181,BIO,UPCOM
1182,VGL,UPCOM
1183,HCD,HOSE
1184,VNB,UPCOM
1185,AMS,UPCOM
1186,BTR,UPCOM
1187,ROS,HOSE
1188,CDR,UPCOM
1189,VLB,UPCOM
1190,TTV,UPCOM
1191,BMV,UPCOM
1192,TTH,HNX
1193,SAC,UPCOM
1194,XHC,UPCOM
1195,NTR,UPCOM
1196,PC1,HOSE
1197,PHN,HNX
1198,LCW,UPCOM
1199,NS2,UPCOM
1200,GCB,UPCOM
1201,PND,UPCOM
1202,PWA,UPCOM
1203,VIH,UPCOM
1204,QNU,UPCOM
1205,VSM,HNX
1206,ATB,UPCOM
1207,CCP,UPCOM
1208,KDF,UPCOM
1209,C69,HNX
1210,CIP,UPCOM
1211,TCJ,UPCOM
1212,KSE,UPCOM
1213,SJF,HOSE
1214,TSD,UPCOM
1215,CIA,HNX
1216,MND,UPCOM
1217,LTG,UPCOM
1218,MGG,UPCOM
